"SalePrice","SqrFeet","Bedrooms","Bathrooms","Air","CarGarage","Pool","Lotsize"
397000,3516,5,7,1,3,0,34795
374800,3536,6,4,1,2,1,19997
520000,2138,5,3,1,3,0,86830
325000,2718,4,4,1,3,0,22842
295000,2178,5,3,1,2,0,25891
415000,3152,5,4,1,2,0,24446
224900,2611,3,3,1,2,0,6924
265000,2060,4,3,1,2,0,13091
299900,2448,4,4,1,3,0,26790
390000,4050,6,5,1,2,1,18262
271000,2414,3,3,1,2,0,24357
330000,3072,4,3,1,2,0,16431
350000,2525,3,3,1,3,0,27138
310000,2866,5,3,1,3,0,25249
340000,3246,4,4,1,3,0,52218
307000,2707,4,4,1,2,0,22094
304000,2300,5,3,1,2,0,35824
275900,1860,3,3,1,2,0,40741
315000,3636,5,3,1,2,0,19776
295000,1910,4,3,1,2,0,30996
251010,2280,4,2,1,2,0,25543
335000,3386,4,5,0,2,0,38428
343500,2324,5,4,1,3,0,22435
297000,1970,4,3,1,2,0,25814
281000,2062,3,3,1,2,1,23608
235000,2617,4,3,1,2,0,8903
237000,2612,4,3,1,2,0,10144
274900,2472,3,3,1,2,0,22451
229900,1922,4,2,1,2,0,15791
259000,1852,3,2,1,2,0,22204
245000,2239,3,3,1,2,0,22216
208000,2068,3,2,1,2,0,34773
421000,2101,3,3,0,2,0,65499
320000,2200,4,3,1,2,0,31450
256000,1972,3,3,0,2,0,32027
275000,2007,3,3,1,2,1,21311
222000,2612,4,3,1,2,0,8229
249900,2124,4,1,1,3,0,21834
273500,2612,4,3,1,2,0,8924
218500,2548,2,2,1,2,0,10210
377000,2767,3,3,1,3,0,75232
220000,2025,3,3,1,2,0,19618
192900,1956,4,2,1,2,0,21779
298750,2460,4,3,1,2,0,23907
315000,2764,3,3,1,3,0,23947
315000,2004,4,3,1,2,0,24453
465900,2852,4,3,1,2,1,34040
239500,2096,3,3,1,2,0,15237
276000,2330,3,3,1,2,0,17433
226000,2520,4,3,1,2,0,12145
235000,2528,3,3,1,2,0,26469
247000,2030,4,3,1,3,0,23202
182000,2208,2,2,1,2,0,6734
180000,1500,2,1,1,0,0,39776
249000,2078,5,3,1,2,0,21512
260000,2442,4,3,1,2,0,21149
219900,2612,3,3,1,2,0,11288
295000,2268,4,3,1,3,0,23976
290000,2734,4,3,1,2,0,23488
300000,2228,4,3,1,2,0,21232
354900,3000,5,4,1,3,0,21643
261000,2404,5,3,1,3,1,17791
174500,1840,3,2,1,2,0,16356
244900,2107,3,2,0,2,0,30050
274900,2788,4,3,1,2,0,18960
214000,2416,3,3,1,2,0,15594
283000,2430,3,4,1,3,0,18164
177900,1584,3,2,1,2,0,13947
237500,1873,3,3,1,2,0,21998
202150,1644,4,3,1,2,0,19499
235000,2400,4,3,1,2,0,44347
217000,2094,4,3,1,2,0,18617
285000,2561,3,3,1,3,0,18985
217500,1752,3,2,1,2,0,24053
210000,1738,5,3,1,2,0,15206
183340,2068,3,2,1,3,0,24325
252000,2428,4,3,1,2,0,22727
237000,2090,4,2,1,2,0,22055
205000,1820,3,2,1,2,0,28023
285000,3219,4,4,1,2,0,28200
210000,2654,3,5,1,2,0,28882
280000,1802,4,3,1,2,0,27700
207000,1765,3,2,1,2,0,22983
221000,2786,4,3,1,2,0,22875
257000,1794,3,2,1,2,0,21691
274000,2768,3,3,0,2,0,26268
262000,2288,3,2,1,2,0,16975
204400,2028,3,2,1,2,0,26777
254900,2620,5,3,1,2,0,27989
244000,1644,3,3,1,2,0,32164
213000,1888,3,2,1,3,0,14757
240000,2116,4,3,1,2,0,22041
235000,2313,4,3,1,2,0,24705
206000,1824,4,2,1,2,0,14748
237000,1942,4,3,1,2,0,23105
274000,2184,4,3,1,2,0,19090
275000,2578,3,3,1,2,0,22299
218400,2036,4,3,1,2,0,21996
156000,1384,2,1,0,2,0,26706
220000,1826,4,3,1,2,0,19870
171500,1681,3,2,1,1,0,15985
180000,1726,3,2,1,2,0,26769
204000,1910,3,2,1,2,0,15423
307000,2664,4,3,1,2,0,22684
265000,2116,3,3,1,2,0,33344
209900,2030,3,3,1,2,0,21914
173000,1940,3,2,0,2,0,11610
189000,1676,3,3,0,2,0,21780
222500,2120,3,2,1,2,1,17883
265000,2152,4,3,1,2,0,26075
264670,1984,4,3,1,2,0,31204
200750,1575,3,3,1,2,0,25543
227900,1798,3,3,1,2,0,17820
255000,2017,3,1,0,1,0,86571
208500,1904,3,3,1,2,0,15559
226900,1718,3,3,1,2,0,49613
215000,1776,4,2,0,1,0,22839
222950,2609,4,3,1,2,0,26087
239900,2226,3,3,1,2,0,13520
176000,1556,2,1,1,3,0,15623
228000,1764,2,2,1,2,0,8105
204900,1626,3,3,1,2,1,15288
258000,2012,5,3,1,2,0,21303
241850,2090,4,4,1,2,0,22010
198500,2192,4,2,1,2,0,22851
243000,2228,4,4,1,2,0,21881
187000,1825,4,2,1,2,0,15810
233000,2132,4,3,1,2,0,17159
205000,2160,3,2,1,2,0,16555
205000,1974,3,2,1,2,0,26196
189000,1696,3,3,1,2,0,31851
204900,2132,3,3,1,2,0,23986
239000,1814,4,3,1,2,1,24698
193000,1796,3,2,1,2,0,29281
260000,2268,5,3,1,2,0,35240
188000,1719,2,3,1,2,0,22009
190500,1704,3,2,1,2,0,22583
230000,2142,3,2,1,2,0,22223
240000,1705,4,2,1,2,0,42322
235000,1752,4,3,1,2,0,39267
275000,2554,5,3,1,2,1,22381
205000,1650,3,2,1,2,0,27235
280000,2816,5,3,1,2,0,29109
190000,1919,3,4,1,2,0,20093
232500,2080,3,2,1,2,0,32021
259500,2108,4,4,1,2,0,24685
275000,2480,3,3,1,2,0,22144
183900,1746,3,2,1,2,0,52136
290000,2703,3,3,0,4,0,43599
217950,1640,4,2,1,2,0,21314
220000,2196,4,3,1,2,0,17899
185000,1701,3,2,1,1,0,21938
288000,2250,3,2,1,2,0,23684
197500,2502,4,2,1,2,0,23749
179975,1762,4,3,1,2,0,15742
195000,2016,4,3,1,2,0,18102
228400,1904,3,3,1,2,1,14945
194750,1652,5,2,1,2,0,24644
195000,2042,4,3,0,2,0,21849
210000,2019,4,3,1,3,0,14837
239550,2791,5,3,1,3,0,22863
242000,2514,4,3,1,1,0,17535
185000,1746,3,2,1,2,0,12386
175000,1930,3,2,1,2,0,15923
165000,1552,3,1,1,3,0,27068
185000,1566,4,2,1,2,0,13504
173194,1669,3,2,1,2,0,24643
205150,1814,3,3,1,2,0,18714
214200,1794,3,3,1,3,0,24308
182500,1691,3,2,1,2,1,21961
205000,1834,4,3,1,2,0,30726
208000,1984,5,3,1,2,0,22047
225000,1966,4,3,1,2,0,24871
170000,1669,3,2,1,2,0,21253
216000,2132,4,3,1,2,0,41332
180000,2007,4,3,1,2,0,15992
169200,1964,4,2,1,2,0,18162
213000,2325,4,3,1,3,0,16699
210000,2196,4,3,1,2,0,29329
185000,2061,3,2,1,2,0,25379
179900,1828,3,2,1,2,0,37150
196000,1956,4,3,1,2,0,20486
219900,1852,6,3,1,2,0,20800
159900,1795,1,2,1,2,0,26467
170000,1580,2,1,0,1,0,10799
169900,1708,3,1,0,1,0,11413
189500,1700,4,2,0,2,0,14023
195000,1742,1,1,1,2,0,18250
215000,1890,4,2,1,2,0,22110
171000,1512,2,1,0,1,0,14774
179900,1840,3,1,0,2,0,40832
120000,1060,2,1,0,2,0,15001
175000,1540,3,2,0,2,0,45458
232900,1550,4,2,1,2,1,14998
229900,2787,4,2,1,1,0,39558
174900,1528,2,2,1,2,0,25193
168900,1928,2,2,0,2,0,26393
229500,2329,3,2,1,2,0,28179
236000,1940,4,3,1,2,0,15073
205500,2114,5,2,1,2,0,14526
212000,1799,3,2,1,2,0,16210
205000,1864,3,2,1,2,0,25628
193000,1581,3,2,1,2,0,15064
180000,1652,3,2,1,2,0,21875
184000,1592,4,2,0,2,0,25943
144900,1520,3,1,0,1,0,36359
255000,1792,2,2,1,2,0,31257
137000,1464,2,1,0,1,0,14999
178000,1702,3,2,0,2,0,21898
296000,2180,3,2,1,2,0,29617
186500,1486,2,2,1,2,0,18479
170000,1364,2,1,0,2,0,26369
219000,1540,4,2,1,2,0,30691
188000,1608,4,2,1,2,0,19380
195250,1668,3,1,1,2,0,17060
175000,1944,3,2,1,2,0,43562
215000,1883,4,2,1,2,1,19932
197500,2215,4,1,0,2,0,25540
249900,1916,2,2,1,2,0,20576
180000,1508,2,2,1,2,0,32469
174900,1809,3,1,1,2,0,16782
189900,1958,4,3,0,2,0,22788
154000,1592,2,1,1,2,0,10332
150000,1636,2,1,1,2,0,10000
189900,1800,3,2,0,2,0,13566
157000,1600,3,1,0,2,0,10807
182000,1550,3,1,1,2,0,15100
187650,1578,3,1,1,2,0,14631
175000,1644,3,1,1,2,0,12999
189900,1556,3,2,1,1,0,19840
175000,1672,3,1,1,2,0,22617
159900,1650,2,2,1,1,0,14997
184900,1676,3,2,0,2,0,16156
174900,1960,2,2,0,2,0,16953
143000,1649,3,1,1,1,0,20096
164900,1728,3,1,1,1,0,10999
173500,1586,3,2,1,1,0,15862
161800,1592,2,1,0,1,0,18686
148000,1514,2,2,1,1,0,16209
177000,1952,4,2,1,2,0,24377
149900,1550,3,1,1,2,0,14311
170000,1544,2,2,0,1,0,14942
142000,1566,3,1,0,1,0,15228
186900,1650,3,2,1,2,0,22000
152900,1392,2,2,0,2,0,29199
350000,2981,5,4,1,2,0,49756
130000,1412,2,1,0,1,0,16752
167900,2180,4,2,0,2,0,15001
184900,1704,2,2,1,2,0,16759
178000,1600,3,2,1,2,0,15090
111000,1276,3,2,0,1,0,11554
207000,1666,4,2,0,1,0,39523
190000,1760,3,2,1,2,0,20193
230000,1836,3,2,0,2,0,46339
165000,1636,3,1,0,2,0,20125
210000,1748,3,2,1,2,0,14512
226000,2556,4,2,0,2,0,36276
149900,1511,4,1,1,1,0,14821
155000,1524,3,2,1,2,0,21875
219900,1821,4,2,1,2,0,16696
132000,1596,1,1,0,0,0,28357
195000,2392,4,2,0,2,0,30265
155900,1748,2,1,1,2,0,16231
119900,1384,2,1,0,0,0,30002
175000,1628,3,1,1,2,1,17069
304000,1911,4,2,1,2,0,86248
190000,1624,4,3,0,1,0,15002
229100,1956,3,2,1,2,1,14710
187500,2012,4,2,0,2,0,14925
173000,1590,2,2,1,2,0,22336
170000,1687,2,1,1,1,0,20925
179000,1816,4,1,1,2,0,16508
162500,1622,3,1,1,1,0,16120
172000,1604,4,2,1,2,0,14964
153200,1592,4,2,0,1,0,16396
220000,1922,3,2,1,2,0,33579
174000,1892,3,1,1,1,0,14712
200000,1628,3,1,1,2,0,15412
161000,1644,2,2,1,2,0,17030
135000,1450,3,1,1,2,0,15868
190000,1592,3,2,1,2,0,22748
153800,1654,2,1,0,2,0,25874
144900,1388,2,1,1,2,0,10568
165000,1670,3,2,0,2,0,18525
186000,1953,3,2,1,1,0,17129
167000,2008,3,1,1,2,0,21860
189600,1650,3,2,1,2,0,34724
170000,1578,3,1,1,2,0,22485
189500,1618,3,2,1,2,0,27539
153500,1642,3,1,0,2,0,14901
159900,2008,1,2,1,2,0,31657
158000,1604,3,2,1,1,0,23534
175000,2035,4,2,1,3,0,20131
147000,1534,3,2,0,1,0,15361
155000,1624,2,2,1,2,0,16721
150000,1700,4,2,1,1,0,15391
165000,1630,3,2,1,2,0,24963
147000,1526,3,2,1,1,0,15007
146250,1672,3,1,1,2,0,22617
177500,1588,4,2,1,2,0,21925
153650,1752,4,2,1,2,0,9126
199500,1674,4,2,0,2,0,33237
186000,1980,3,1,0,1,0,47679
139900,1396,1,1,0,2,0,25879
160000,1178,1,1,0,2,0,9941
125000,1263,2,2,0,0,0,12357
359900,2377,5,2,1,2,0,51005
184500,1304,3,1,1,2,0,21305
155000,1340,3,1,0,0,0,5666
150000,1559,2,1,0,2,0,23999
146000,1412,1,2,1,0,0,4560
129000,1198,2,2,1,2,0,20918
145000,1424,2,1,1,2,0,16414
200000,1370,4,1,0,1,0,8000
149900,1584,3,2,1,2,0,13514
132000,1567,2,1,1,1,0,12249
136900,1409,2,1,0,1,0,28421
137000,1655,2,1,0,1,0,54651
185000,1944,3,2,1,2,0,17999
133500,1922,3,1,0,2,0,14805
124000,1480,3,2,1,2,0,28351
95500,1184,2,1,0,1,0,14786
